#BLTrackFile VirtualDetector/DetBackward
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
743.271 2737.62 -0.5 0.268753 1.01704 -0.375929 13.4919 22 3 2274 2252 1
538.641 810.806 -0.5 0.153064 0.220719 -0.315248 8.37984 22 3 3572 3570 1
-965.783 -733.91 -0.5 -0.212652 -0.159988 -0.21077 8.45624 22 3 6124 6123 1
1211.96 -1014.9 -0.5 0.729123 -0.620073 -0.609942 9.56784 22 3 7526 7503 1
-535.454 -705.168 -0.5 -0.509824 -0.583475 -0.963671 8.20171 22 3 8110 8087 1
991.739 -152.474 -0.5 0.288312 -0.0295763 -0.300988 8.35242 22 3 8605 8604 1
633.966 -55.4791 -0.5 0.668646 -0.0501469 -0.988104 7.85336 22 3 9227 9226 1
1265.3 1170.84 -0.5 0.275532 0.254882 -0.235444 10.3824 22 3 11171 11168 1
-1375.44 324.383 -0.5 -2.40394 0.549783 -1.81498 9.37169 22 3 11995 11922 1
-615.138 -262.302 -0.5 -0.259589 -0.106699 -0.470213 7.55139 22 3 12202 12201 1
-692.893 -7137.74 -0.5 -0.0368177 -0.376879 -0.0530845 27.5029 22 3 12964 10312 1
41.0388 995.246 -0.5 -1.39258e-05 0.385823 -0.445869 8.41215 22 3 13316 13315 1
1622.07 -1597.5 -0.5 0.203332 -0.197458 -0.12257 11.7735 22 3 14929 14878 1
3175.8 142.611 -0.5 0.451218 0.0258833 -0.150236 14.7729 22 3 16128 16127 1
-786.124 988.896 -0.5 -0.178347 0.250501 -0.250785 9.10611 22 3 18928 18927 1
-8038.92 -4805.94 -0.5 -0.280225 -0.166287 -0.0326193 35.2306 22 3 19886 19885 1
381.455 610.057 -0.5 0.223275 0.35412 -0.570059 7.33198 22 3 21299 21195 1
-2749.41 -1027.34 -0.5 -3.96718 -1.47834 -1.52455 13.9423 22 3 22795 22615 1
-297.003 -347.968 -0.5 -0.136271 -0.206201 -0.562101 7.51243 22 3 23850 23812 1
901.423 -575.543 -0.5 0.418549 -0.284989 -0.500457 8.67533 22 3 24150 24148 1
-3198.39 -5087.79 -0.5 -0.267588 -0.425986 -0.0897358 23.9514 22 3 24838 24837 1
-744.291 1464.16 -0.5 -0.187827 0.376523 -0.256438 9.74785 22 3 25329 25312 1
-718.323 -30.806 -0.5 -0.183205 -0.0245421 -0.252874 7.91063 22 3 25461 25460 1
-1526.03 -1053.15 -0.5 -0.320628 -0.240899 -0.225986 10.7992 22 3 25479 25460 1
1601.23 -508.78 -0.5 0.327449 -0.112011 -0.215795 10.0893 22 3 25554 25534 1
-952.317 1678.49 -0.5 -0.298287 0.523804 -0.311006 10.578 22 3 25630 25629 1
2285.53 -755.343 -0.5 1.13542 -0.368302 -0.481368 11.9024 22 4 1033 1 1
-610.94 -321.376 -0.5 -0.28294 -0.137008 -0.457037 7.2505 22 4 1440 1398 1
3271.9 2437.05 -0.5 0.397415 0.295724 -0.125413 17.4677 22 4 3057 3056 1
-261.557 -576.76 -0.5 -0.161305 -0.340337 -0.583013 7.29512 22 4 3753 3752 1
1674.44 -1887.63 -0.5 0.406585 -0.4576 -0.24764 12.66 22 4 4636 4614 1
892.534 -795.347 -0.5 0.484944 -0.453806 -0.544387 9.71954 22 4 5563 5480 1
2024.83 1839.9 -0.5 0.351479 0.321466 -0.185046 13.3484 22 4 5980 5979 1
-816.534 823.376 -0.5 -0.270183 0.261577 -0.345975 8.80672 22 4 7037 7036 1
765.72 343.88 -0.5 0.175371 0.0843689 -0.25224 7.83578 22 4 7454 7364 1
1282.95 -947.858 -0.5 1.19895 -0.893743 -0.954106 9.68854 22 4 11631 11594 1
-825.887 -216.346 -0.5 -0.307735 -0.0840261 -0.376861 7.79835 22 4 14724 14688 1
4742.43 1249.78 -0.5 0.384706 0.10155 -0.0841346 20.0458 22 4 15357 15337 1
1135.5 -804.8 -0.5 0.206392 -0.140105 -0.180198 9.17414 22 4 15612 15611 1
1208.62 -514.826 -0.5 0.266179 -0.114232 -0.247011 9.21928 22 4 15720 15719 1
-274.022 -1357.88 -0.5 -0.089513 -0.396625 -0.309509 9.36603 22 4 15880 15879 1
-1363.18 1234.03 -0.5 -2.24909 2.03076 -1.65878 10.3615 22 4 16489 16448 1
394.498 -263.053 -0.5 0.301095 -0.229788 -0.840836 6.92741 22 4 16858 16836 1
2521.7 1309.81 -0.5 0.279365 0.144747 -0.114776 13.4357 22 4 17059 16836 1
1237.71 -427.574 -0.5 0.360529 -0.140637 -0.291666 8.85198 22 4 17899 17898 1
3162.98 360.927 -0.5 0.334008 0.0432415 -0.115573 14.76 22 4 18402 18401 1
-422.114 1755.9 -0.5 -0.0682397 0.276315 -0.169257 10.5806 22 4 18791 18789 1
-269.117 15.8323 -0.5 -0.133721 0.00556444 -0.493161 7.024 22 4 18936 18917 1
-447.658 -1430.92 -0.5 -0.260888 -0.849624 -0.649326 9.54332 22 4 19634 19581 1
7726.42 1815.59 -0.5 0.560861 0.132842 -0.0781166 30.1503 22 4 20181 19802 1
-2046.22 450.987 -0.5 -0.382742 0.0898782 -0.201901 11.408 22 4 20909 20908 1
-11.6255 534.784 -0.5 0.0257091 0.243229 -0.40937 7.68042 22 4 20981 20908 1
6.93681 2149.61 -0.5 0.001286 0.458235 -0.226139 11.53 22 4 26816 26815 1
-1082.39 -3059 -0.5 -0.271348 -0.749519 -0.261941 14.8977 22 4 32733 32652 1
2296.67 -3653.03 -0.5 0.251239 -0.41409 -0.117912 18.407 22 4 33554 33515 1
-2882.11 1602.94 -0.5 -0.89166 0.494543 -0.298705 16.08 22 4 33954 33952 1
5003.22 545.571 -0.5 19.5256 2.22566 -4.06468 841.731 2112 4 34013 34000 1
146.039 225.061 -0.5 0.169101 0.288702 -1.2835 6.96186 22 4 35375 35350 1
236.546 -608.115 -0.5 0.503087 -1.3386 -2.27524 7.46406 22 4 35411 35350 1
