# This file contains the peak energy deposition density for each cube in the detector array.
# Each line corresponds to one cube, with the following format: (x, y, z, peak energy deposition density)
# x, y, z: The coordinates of the cube in the detector array
# peak energy deposition density: The maximum energy deposition density in the cube, in units of J/g
# this is for a 100mm X 100mm X 200mm lXe Target. Each cube is 10mm X 10mm X 10mm
x	y	z	peak_energy_deposition_density
0.0	10.0	0.0	5.1375033516453025e-14
0.0	10.0	1.0	1.151978401052522e-13
0.0	10.0	2.0	4.052569578135572e-13
0.0	10.0	3.0	3.555011625117073e-13
0.0	10.0	4.0	4.930086476106731e-13
0.0	10.0	5.0	6.405426332988203e-13
0.0	10.0	6.0	6.709344320086369e-13
0.0	10.0	7.0	6.289274223892372e-13
0.0	10.0	8.0	1.2949505563590555e-12
0.0	10.0	9.0	1.7018304689161501e-12
0.0	10.0	10.0	2.163287080420568e-12
0.0	10.0	11.0	1.537440734848419e-12
0.0	10.0	12.0	2.9962573413906546e-12
0.0	10.0	13.0	3.1840076550038604e-12
0.0	10.0	14.0	3.17331968550984e-12
0.0	10.0	15.0	4.502971427495781e-12
0.0	10.0	16.0	3.1888090301073563e-12
0.0	10.0	17.0	5.489497445212587e-12
0.0	10.0	18.0	4.621349008223987e-12
0.0	10.0	19.0	5.306209180829191e-12
0.0	10.0	20.0	3.1837579869997203e-12
1.0	0.0	0.0	1.5353849121819945e-13
1.0	0.0	1.0	5.312450340815245e-13
1.0	0.0	2.0	2.5280808750053003e-13
1.0	0.0	3.0	5.163848240988157e-13
1.0	0.0	4.0	7.532279208000463e-13
1.0	0.0	5.0	9.469021032017281e-13
1.0	0.0	6.0	8.271807921764944e-13
1.0	0.0	7.0	1.129267362795523e-12
1.0	0.0	8.0	1.3037436413683616e-12
1.0	0.0	9.0	1.6033878887588064e-12
1.0	0.0	10.0	2.0218608378404415e-12
1.0	0.0	11.0	2.54536111826649e-12
1.0	0.0	12.0	3.891724805547649e-12
1.0	0.0	13.0	3.2156241742435227e-12
1.0	0.0	14.0	5.064065787151445e-12
1.0	0.0	15.0	5.600833723100997e-12
1.0	0.0	16.0	5.912657875527561e-12
1.0	0.0	17.0	6.738353198922303e-12
1.0	0.0	18.0	6.416175879127235e-12
1.0	0.0	19.0	5.434722578283951e-12
1.0	0.0	20.0	6.029435287252717e-12
1.0	1.0	0.0	3.638904490938205e-13
1.0	1.0	1.0	2.537032267870437e-13
1.0	1.0	2.0	4.3127631530194013e-13
1.0	1.0	3.0	7.333477610046037e-13
1.0	1.0	4.0	6.637190270959025e-13
1.0	1.0	5.0	7.177694351628306e-13
1.0	1.0	6.0	1.5137685598894179e-12
1.0	1.0	7.0	1.6343501345106703e-12
1.0	1.0	8.0	2.2169229034454503e-12
1.0	1.0	9.0	2.6302108731497146e-12
1.0	1.0	10.0	3.657960280668749e-12
1.0	1.0	11.0	4.338503409222162e-12
1.0	1.0	12.0	4.277090994801741e-12
1.0	1.0	13.0	6.6503393300910226e-12
1.0	1.0	14.0	6.01291217906393e-12
1.0	1.0	15.0	7.259714173133443e-12
1.0	1.0	16.0	8.805364355798036e-12
1.0	1.0	17.0	1.0978005515482072e-11
1.0	1.0	18.0	9.999916285602095e-12
1.0	1.0	19.0	1.024579924407429e-11
1.0	1.0	20.0	1.0942150714173934e-11
1.0	2.0	0.0	2.2204167569555422e-13
1.0	2.0	1.0	4.251892447757374e-13
1.0	2.0	2.0	9.077332553554783e-13
1.0	2.0	3.0	6.736147378775768e-13
1.0	2.0	4.0	7.157316905612367e-13
1.0	2.0	5.0	1.305715778111807e-12
1.0	2.0	6.0	2.2377449076310923e-12
1.0	2.0	7.0	2.125880489604299e-12
1.0	2.0	8.0	2.509920331559324e-12
1.0	2.0	9.0	5.6390410325345846e-12
1.0	2.0	10.0	5.3986305907577655e-12
1.0	2.0	11.0	6.87678710563023e-12
1.0	2.0	12.0	7.634517994101092e-12
1.0	2.0	13.0	9.083133463289343e-12
1.0	2.0	14.0	1.0336914869737532e-11
1.0	2.0	15.0	1.029300296144349e-11
1.0	2.0	16.0	1.1375230196537197e-11
1.0	2.0	17.0	1.3661812902988125e-11
1.0	2.0	18.0	1.2526534477728901e-11
1.0	2.0	19.0	1.3487806605270574e-11
1.0	2.0	20.0	1.427258153265524e-11
1.0	3.0	0.0	3.025433412485528e-13
1.0	3.0	1.0	4.985463896601191e-13
1.0	3.0	2.0	7.962211734951563e-13
1.0	3.0	3.0	1.295914903273962e-12
1.0	3.0	4.0	1.3943651770259912e-12
1.0	3.0	5.0	1.9998791876476357e-12
1.0	3.0	6.0	2.1763262400557915e-12
1.0	3.0	7.0	3.0365724829763638e-12
1.0	3.0	8.0	3.858587061099765e-12
1.0	3.0	9.0	6.803893593010134e-12
1.0	3.0	10.0	8.265573376495067e-12
1.0	3.0	11.0	9.924902454052246e-12
1.0	3.0	12.0	1.031854313558743e-11
1.0	3.0	13.0	1.3337845023031926e-11
1.0	3.0	14.0	1.4924647865612657e-11
1.0	3.0	15.0	1.4661826117180937e-11
1.0	3.0	16.0	1.828159450881008e-11
1.0	3.0	17.0	1.945278457559117e-11
1.0	3.0	18.0	2.1043480037440707e-11
1.0	3.0	19.0	2.164570556722837e-11
1.0	3.0	20.0	2.0695043377085706e-11
1.0	4.0	0.0	2.6401514052160807e-13
1.0	4.0	1.0	7.225519839584228e-13
1.0	4.0	2.0	7.254363473405359e-13
1.0	4.0	3.0	1.0530092017666075e-12
1.0	4.0	4.0	2.0137519403076625e-12
