#BLTrackFile VirtualDetector/DetSideways
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-7137.89 -7003.61 1548.56 -0.248972 -0.243501 0.0180134 36.8316 22 20 3246 3245 1
6437.72 7652.18 298.302 1.23914 1.46234 -0.149932 36.9715 22 20 7621 7620 1
-6905.6 -7232.75 1550.64 -1.65563 -1.73245 0.117151 36.9322 22 20 9925 9868 1
-6107.26 7918.42 230.575 -0.248443 0.323366 -0.0329721 37.0634 22 21 3926 3902 1
-9999.57 -93.0593 84.1791 -2.72661 -0.0244591 -0.258132 36.9715 22 21 4822 4709 1
467.325 9989.07 1637.56 0.356363 7.53047 0.462528 36.8194 22 21 9533 9494 1
-9837.79 -1793.83 385.972 -1.04359 -0.190223 -0.0705008 36.9152 22 21 14488 14487 1
907.246 -9958.76 1573.11 0.0310542 -0.343646 0.0171465 36.9966 22 21 15289 15196 1
7482.87 6633.75 1820.63 0.286832 0.25454 0.0289555 36.9887 22 21 15613 15396 1
9681.45 2503.92 551.392 1.92358 0.491719 -0.103712 36.9355 22 22 2606 2578 1
-7142.07 -6999.35 934.462 -0.36454 -0.358055 -0.00518304 36.85 22 22 6591 6590 1
6533.38 7570.66 1978.57 0.373482 0.435257 0.0529246 37.0436 22 22 9895 9817 1
8368.79 5473.87 34.6846 0.425696 0.277721 -0.0526698 37.1302 22 22 10459 10458 1
-9789.34 -2041.79 338.524 -0.845424 -0.175456 -0.0566808 36.7896 22 22 14002 13932 1
9952.41 974.425 1975.03 0.506514 0.049701 0.0457545 37.0964 22 23 5629 5628 1
-4906.16 -8713.76 1791.12 -0.129772 -0.234087 0.0213577 36.9738 22 23 6669 6336 1
-4322.17 -9017.7 775.785 -0.21859 -0.456825 -0.0130192 36.8582 22 23 11245 11244 1
2742 9616.73 1781.1 0.357885 1.24184 0.0913207 36.989 22 23 12719 12717 1
-5606.64 -8280.43 956.958 -0.218237 -0.318793 -0.00178711 36.8795 22 23 14883 14747 1
-4921.3 -8705.22 1336.15 -0.44656 -0.773496 0.0276393 36.9996 22 23 16785 16784 1
5644.34 8254.78 1071.44 0.349494 0.508196 -0.000347339 36.8508 22 24 5396 5306 1
-9989.13 -466.114 747.663 -0.282061 -0.0127576 -0.00547614 37.1468 22 24 7051 7049 1
3869.33 -9221.08 1716.81 0.130179 -0.308544 0.0239863 36.9086 22 24 9829 9803 1
-9244.66 3812.63 302.637 -0.471263 0.193643 -0.0391645 37.0454 22 24 11288 11287 1
6529.78 7573.77 130.525 6.17726 7.2546 -0.790469 36.8048 11 24 13487 13485 1
4338.2 -9009.99 1184.88 1.73327 -3.60987 0.0755155 36.6805 22 24 14592 14473 1
8989.26 4381 1187.79 0.674163 0.33016 0.0146922 36.6664 22 24 15388 15309 1
-7980.45 -6025.98 1544.68 -0.645134 -0.483958 0.0448827 36.7663 22 24 15412 15309 1
