#BLTrackFile VirtualDetector/DetSideways
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
7087.13 -7054.97 953.06 1.79292 -1.78244 -0.0297937 36.9405 22 9 1511 1468 1
6318.27 -7751.09 1274.35 0.496433 -0.608492 0.0175785 36.8644 22 9 3539 3488 1
-7442.29 -6679.25 1534.12 -0.288049 -0.260592 0.0210248 36.8511 22 9 4330 4289 1
7972.39 6036.63 1747.87 0.257864 0.197379 0.0252812 36.8898 22 9 7916 7885 1
-443.634 9990.15 1641.66 -0.0181569 0.412691 0.0278697 36.6443 22 9 11405 11046 1
-7970.37 6039.31 627.238 -0.474076 0.362466 -0.0232376 36.806 22 9 15049 15017 1
-7926.75 -6096.45 1391.07 -0.352818 -0.271763 0.0181999 36.9055 22 9 16619 16618 1
-3550.68 -9348.4 1026.69 -0.174207 -0.45726 0.00111534 36.7181 22 9 18410 18353 1
5016.47 -8650.72 234.107 0.186437 -0.317237 -0.0302918 37.005 22 9 20327 20326 1
3735.94 -9275.92 692.254 0.202889 -0.502566 -0.0161807 36.659 22 9 20461 20115 1
9997.56 -220.766 204.062 5.59523 -0.12061 -0.469298 36.9391 22 10 2694 2692 1
-8711.2 -4910.71 108.816 -2.97155 -1.67178 -0.321139 36.9943 22 10 3972 3841 1
6701.91 7421.89 1051.34 0.876339 0.970565 -0.00176676 36.7386 22 10 8725 8664 1
6699.4 -7424.15 1212.33 3.37864 -3.74108 0.0672713 37.1207 11 10 12895 12730 1
5310.54 8473.38 823.648 0.487227 0.778362 -0.0185066 36.7599 22 10 13483 13430 1
8128.5 5824.73 968.102 0.369745 0.266298 0.000264224 36.628 22 11 1558 1557 1
7514.4 6598.02 1058.14 0.384122 0.337001 -0.000854272 36.8988 22 11 3756 3726 1
-2384.63 -9711.52 966.827 -1.33196 -5.43157 -0.040305 36.8596 22 11 10600 10599 1
7404.3 6721.33 927.683 0.659147 0.603734 -0.0105793 36.7278 22 11 11323 11284 1
8364.62 -5480.25 377.751 0.381841 -0.250078 -0.031368 36.9756 22 12 5509 5473 1
1481.13 9889.7 1510.06 0.0493706 0.320349 0.0188027 38.0546 22 12 9135 9079 1
-9922.65 -1241.35 443.021 -1.46311 -0.185116 -0.0761342 37.8551 22 12 16781 16759 1
1058.4 -9943.83 1003.81 0.12444 -1.17727 0.00135821 36.6959 22 12 17373 17271 1
7402.02 -6723.84 1877.86 0.990216 -0.900248 0.107954 39.2635 11 12 21404 21403 1
